"longitude","latitude","station_name"
"966045",-102.6306,38.0936,"LAMAR"
"966046",-96.8667,42.2647,"WAKEFIELD"
"966047",-90.3431,39.1025,"JERSEYVILLE 2 SW"
"966048",-98.7783,39.7772,"SMITH CTR"
"966049",-91.7683,38.1311,"VICHY ROLLA NATIONAL AP"
"966050",-108.4447,35.3364,"MCGAFFEY 5 SE"
"966051",-93.0486,34.5128,"HOT SPRINGS 1 NNE"
"966052",-100.8292,40.2333,"CULBERTSON"
"966053",-122.2536,40.1519,"RED BLUFF MUNI AP"
"966054",-84.4417,33.63,"ATLANTA HARTSFIELD INTL AP"
"966055",-103.4819,44.0622,"PACTOLA DAM"
"966056",-101.7,39.3669,"GOODLAND"
"966057",-101.5697,48.4583,"FOXHOLM 7 N"
"966058",-68.6136,47.2386,"FT KENT"
"966059",-81.8433,27.8986,"BARTOW"
"966060",-86.5067,40.2986,"FRANKFORT DISPOSAL PLT"
"966061",-87.3353,36.5472,"CLARKSVILLE WWTP"
"966062",-97.7047,39.1247,"MINNEAPOLIS"
"966063",-94.5969,39.1208,"KANSAS CITY DOWNTOWN AP"
"966064",-99.8297,39.3756,"HILL CITY MUNI AP"
"966065",-83.5286,34.5181,"CORNELIA"
"966066",-95.1464,39.9808,"OREGON"
"966067",-102.5947,48.4564,"STANLEY 3 NNW"
"966068",-92.5806,42.0356,"TOLEDO 3N"
"966069",-102.1467,41.0469,"BIG SPRINGS"
"966070",-96.1686,43.43,"ROCK RAPIDS"
"966071",-98.3836,40.6472,"HASTINGS 4N"
"966072",-101.8067,39.7675,"SAINT FRANCIS"
"966073",-90.3736,38.7525,"ST LOUIS LAMBERT INTL AP"
"966074",-94.8897,38.8317,"OLATHE JOHNSON CO AP"
"966075",-97.9667,42.0644,"OAKDALE"
"966076",-101.7514,38.8961,"SHARON SPRINGS"
"966077",-92.7672,35.1581,"MORRILTON"
"966078",-96.1458,42.7817,"LE MARS"
"966079",-99.675,41.4083,"BROKEN BOW 2 W"
"966080",-99.8361,39.7411,"NORTON 9SSE"
"966081",-102.3508,38.8219,"CHEYENNE WELLS"
"966082",-92.5433,40.0972,"KIRKSVILLE RGNL AP"
"966083",-90.9108,33.4311,"STONEVILLE EXP STA"
"966084",-89.0931,42.1928,"ROCKFORD GTR ROCKFORD AP"
"966085",-91.2294,43.5706,"GENOA DAM 8"
"966086",-93.9489,37.3908,"LOCKWOOD"
"966087",-103.66,43.03,"ARDMORE 1 NW"
"966088",-92.0747,43.6725,"PRESTON"
"966089",-105.5119,37.7333,"GREAT SAND DUNES NM"
"966090",-97.4353,41.9856,"NORFOLK KARL STEFAN AP"
"966091",-106.5781,36.9178,"CHAMA"
"966092",-90.2153,39.7353,"JACKSONVILLE 2E"
"966093",-99.8722,39.0147,"WAKEENEY"
"966094",-100.9097,46.8128,"MANDAN EXP STN"
"966095",-108.2444,45.9228,"HUNTLEY EXP STN"
"966096",-110.5261,33.1819,"SAN CARLOS RESERVOIR"
"966097",-90.3789,39.4411,"WHITE HALL 1 E"
"966098",-96.7686,44.3253,"BROOKINGS 2 NE"
"966099",-100.7264,48.6147,"UPHAM 3 N"
"966100",-104.2881,43.245,"REDBIRD"
"966101",-98.5197,40.0978,"RED CLOUD"
